id,score_date,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_16090733,31-03-2023,5.0,0.0,1.0,5.0,0,0,0.2,0.2,0,0
JMAN_9002159,17-02-2023,5.0,0.25,5.0,5.0,0,1,0.8,1.0,0,1
JMAN_2414128,24-03-2023,11.0,0.454545455,11.0,11.0,0,0,1.0,1.0,0,0
JMAN_2480262,13-01-2023,1.0,0.0,2.0,1.0,0,0,1.0,1.0,0,0
JMAN_9030043,13-01-2023,16.0,0.0,16.0,16.0,0,1,1.0,1.0,0,0
JMAN_9028695,31-03-2023,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_2438346,17-03-2023,11.0,0.1,10.0,11.0,0,0,0.909090909,0.909090909,0,0
JMAN_2466569,31-03-2023,21.0,0.111111111,18.0,21.0,0,1,0.857142857,0.857142857,0,0
JMAN_2463062,31-03-2023,9.0,0.0,8.0,9.0,0,1,0.888888889,0.888888889,0,0
JMAN_18839586,17-03-2023,2.0,0.0,,2.0,0,0,0.0,0.0,0,0
JMAN_15336980,03-02-2023,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_9014349,24-02-2023,27.0,0.333333333,26.0,27.0,0,1,1.0,0.962962963,1,0
JMAN_2451881,10-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_12581551,13-01-2023,2.0,0.0,1.0,2.0,0,1,0.5,0.5,0,0
JMAN_11272416,24-02-2023,10.0,0.1,10.0,10.0,0,1,1.0,1.0,0,0
JMAN_9357280,13-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2357251,24-02-2023,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_2465581,13-01-2023,20.0,0.0,18.0,20.0,0,1,0.9,0.9,0,0
JMAN_9000240,31-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_14142262,13-01-2023,3.0,0.333333333,3.0,3.0,0,1,1.0,1.0,0,0
JMAN_2375471,27-01-2023,11.0,0.090909091,11.0,11.0,1,0,1.0,1.0,0,0
JMAN_2462569,27-01-2023,5.0,0.0,5.0,5.0,0,0,1.0,1.0,0,0
JMAN_9662440,24-02-2023,18.0,0.076923077,16.0,18.0,1,0,0.722222222,0.888888889,0,1
JMAN_2483316,27-01-2023,7.0,0.571428571,7.0,7.0,1,0,1.0,1.0,0,0
JMAN_2452556,31-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2462717,03-03-2023,2.0,0.333333333,3.0,2.0,0,0,1.0,1.0,0,0
