id,score_date,current_arr,team_plus,pro_plus,ent_plus,csat_score,num_low_sev_outages,num_high_sev_outages,num_tickets_deflected,customer_age_quarters,product_counts,crm_employee_range,region_emea,region_apac,region_amer,region_latam,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,future_arr,current_arr.1,max_seats,agent_utilization,seat_utilization,churn,arr_change_percentage,log_current_arr,log_future_arr,customer_age_years,sev_outages_ratio,total_outages,log_max_seats,csat_score_normalized
JMAN_9014680,2023-03-31,1694.4,1,0,0,0,0,0,0,16,2,Oct-49,1,0,0,0,0,1,0,0,0,1735.56,1694.4,7.0,0.142857143,1.0,0,2.4291784702549486,7.435673980174305,7.459661423847507,64,0.0,0,2.0794415416798357,0.0
JMAN_16871480,2023-03-24,336.0,1,0,0,0,0,0,0,16,1,Oct-49,1,0,0,0,0,1,0,0,0,336.0,336.0,2.0,0.0,0.0,0,0.0,5.820082930352362,5.820082930352362,64,0.0,0,1.0986122886681098,0.0
JMAN_2481205,2023-02-03,4545.72,1,1,1,0,0,0,0,16,2,5000+,1,0,0,0,0,1,0,1,0,4633.68,4545.72,2.0,0.5,1.0,0,1.9350069955914582,8.422161372865824,8.44132243570289,64,0.0,0,1.0986122886681098,0.0
JMAN_2481205,2023-02-10,4545.72,1,1,1,0,0,0,0,16,2,5000+,1,0,0,0,0,1,0,1,0,4633.68,4545.72,2.0,0.5,1.0,0,1.9350069955914582,8.422161372865824,8.44132243570289,64,0.0,0,1.0986122886681098,0.0
JMAN_2478294,2023-03-10,318.48,0,0,0,0,17,0,0,17,5,01-Sep,1,0,0,0,0,1,0,0,0,326.28,318.48,5.0,0.0,1.0,0,2.4491333835719526,5.766694674049188,5.790816073621143,68,0.0,17,1.791759469228055,0.0
JMAN_2452905,2023-01-27,456.0,1,0,0,0,2,0,0,17,5,01-Sep,0,1,0,0,0,1,0,0,0,456.0,456.0,2.0,0.0,1.0,0,0.0,6.124683390894205,6.124683390894205,68,0.0,2,1.0986122886681098,0.0
JMAN_2293551,2023-01-06,2251.32,1,0,0,0,0,0,0,15,6,Oct-49,1,0,0,0,0,1,0,0,0,2277.6,2251.32,7.0,0.0,0.857142857,0,1.1673151750972648,7.719716075079655,7.7313164982640155,60,0.0,0,2.0794415416798357,0.0
JMAN_9034877,2023-03-03,1788.0,1,1,1,0,6,0,1,17,3,Oct-49,0,1,0,0,0,1,0,0,0,1788.0,1788.0,1.0,1.0,1.0,0,0.0,7.489412083508719,7.489412083508719,68,0.0,6,0.6931471805599453,0.0
JMAN_9004146,2023-02-24,11376.0,1,1,0,100,12,0,0,17,1,01-Sep,0,0,1,0,1,0,0,0,0,11376.0,11376.0,12.0,0.0,1.0,0,0.0,9.339349052539717,9.339349052539717,68,0.0,12,2.5649493574615367,1.0
JMAN_9018227,2023-01-13,1308.0,1,1,0,0,5,0,0,17,3,100 - 249,0,1,0,0,1,0,0,0,0,1308.0,1308.0,1.0,1.0,1.0,0,0.0,7.1770187659099,7.1770187659099,68,0.0,5,0.6931471805599453,0.0
JMAN_11272416,2023-01-06,9600.0,1,1,0,0,5,0,13,5,1,100 - 249,0,0,1,0,1,0,0,0,0,9600.0,9600.0,10.0,0.0,1.0,0,0.0,9.169622538697624,9.169622538697624,20,0.0,5,2.3978952727983707,0.0
JMAN_9892189,2023-03-17,228.0,1,0,0,0,9,0,0,11,2,01-Sep,0,0,0,1,0,1,0,0,0,0.0,228.0,1.0,0.0,1.0,1,-100.0,5.43372200355424,0.0,44,0.0,9,0.6931471805599453,0.0
JMAN_2420440,2023-03-10,127.44,0,0,0,0,17,0,0,17,5,01-Sep,1,0,0,0,0,1,0,0,0,130.44,127.44,2.0,0.0,1.0,0,2.354048964218456,4.855461869221313,4.878550473729012,68,0.0,17,1.0986122886681098,0.0
JMAN_9157238,2023-02-24,2832.0,1,1,0,0,12,0,0,16,3,100 - 249,0,0,1,0,1,0,0,0,0,3312.0,2832.0,4.0,0.333333333,0.75,0,16.94915254237288,7.949091499830517,8.105609402299896,64,0.0,12,1.6094379124341003,0.0
